transaction,symbol,buyer,seller,quantity,rate,amount,date
2026060301000001,NABIL,58,58,40.0,536.0,21440.0,2026-06-03
2026060304000001,NHPC,34,58,10.0,309.6,3096.0,2026-06-03
2026060304000002,NHPC,34,64,690.0,309.6,213624.0,2026-06-03
2026060301000002,HBL,57,45,10.0,200.0,2000.0,2026-06-03
2026060304000003,CHCL,48,42,20.0,505.0,10100.0,2026-06-03
2026060305000001,SHIVM,54,35,10.0,636.5,6365.0,2026-06-03
2026060303000001,GFCL,59,21,50.0,680.0,34000.0,2026-06-03
2026060301000003,NICA,63,21,800.0,363.4,290720.0,2026-06-03
2026060304000004,HEI,49,62,30.0,590.0,17700.0,2026-06-03
2026060303000002,SIFC,58,57,14.0,550.0,7700.0,2026-06-03
2026060303000003,CFCL,42,13,10.0,620.0,6200.0,2026-06-03
2026060303000004,CFCL,42,13,20.0,620.0,12400.0,2026-06-03
2026060303000005,CFCL,42,44,20.0,620.0,12400.0,2026-06-03
2026060305000002,NRIC,41,54,10.0,1180.0,11800.0,2026-06-03
2026060305000003,NRIC,41,17,10.0,1180.0,11800.0,2026-06-03
2026060305000004,NRIC,36,17,20.0,1180.0,23600.0,2026-06-03
2026060305000005,NRIC,36,54,10.0,1180.0,11800.0,2026-06-03
2026060305000006,NRIC,36,41,150.0,1180.0,177000.0,2026-06-03
2026060305000007,NRIC,36,14,110.0,1180.0,129800.0,2026-06-03
2026060303000006,SWBBL,36,62,10.0,773.8,7738.0,2026-06-03
2026060304000005,NLG,42,54,100.0,620.0,62000.0,2026-06-03
2026060303000007,NMLBBL,19,74,10.0,565.0,5650.0,2026-06-03
2026060305000008,MBJC,58,49,10.0,298.0,2980.0,2026-06-03
2026060303000008,GBBL,34,10,30.0,418.1,12543.0,2026-06-03
2026060303000009,GBBL,48,10,500.0,418.1,209050.0,2026-06-03
2026060303000010,GBBL,14,10,434.0,418.1,181455.4,2026-06-03
2026060305000009,BHL,17,67,10.0,222.0,2220.0,2026-06-03
2026060305000010,BHL,17,52,90.0,222.0,19980.0,2026-06-03
2026060303000011,JBBL,97,62,300.0,371.0,111300.0,2026-06-03
2026060303000012,JBBL,97,62,200.0,371.0,74200.0,2026-06-03
2026060303000013,JBBL,97,62,100.0,371.0,37100.0,2026-06-03
2026060303000014,JBBL,97,62,200.0,371.0,74200.0,2026-06-03
2026060304000006,AKPL,36,56,10.0,287.4,2874.0,2026-06-03
2026060305000011,RFPL,42,58,10.0,353.0,3530.0,2026-06-03
2026060303000015,MPFL,50,66,10.0,643.0,6430.0,2026-06-03
2026060303000016,MPFL,50,66,10.0,643.0,6430.0,2026-06-03
2026060303000017,SHINE,42,57,10.0,432.0,4320.0,2026-06-03
2026060303000018,MFIL,57,35,10.0,780.0,7800.0,2026-06-03
2026060304000007,KPCL,47,50,20.0,517.7,10354.0,2026-06-03
2026060305000012,SPHL,6,35,10.0,567.0,5670.0,2026-06-03
2026060303000019,RLFL,99,62,10.0,480.0,4800.0,2026-06-03
2026060303000020,RLFL,45,62,20.0,480.0,9600.0,2026-06-03
2026060305000013,PPL,26,39,10.0,370.0,3700.0,2026-06-03
2026060305000014,PHCL,40,40,10.0,327.1,3271.0,2026-06-03
2026060305000015,PHCL,49,40,40.0,327.1,13084.0,2026-06-03
2026060304000008,UNHPL,36,28,10.0,458.0,4580.0,2026-06-03
2026060305000016,BHPL,28,29,10.0,499.8,4998.0,2026-06-03
2026060305000017,SMHL,29,52,385.0,504.0,194040.0,2026-06-03
2026060304000009,HDHPC,58,83,10.0,213.0,2130.0,2026-06-03
2026060304000010,SSHL,58,34,10.0,215.0,2150.0,2026-06-03
2026060304000011,SGIC,62,44,50.0,495.0,24750.0,2026-06-03
2026060305000018,SMJC,71,63,10.0,488.2,4882.0,2026-06-03
2026060305000019,MAKAR,11,13,10.0,476.0,4760.0,2026-06-03
2026060305000020,DOLTI,45,85,10.0,336.0,3360.0,2026-06-03
2026060305000021,BEDC,36,57,10.0,380.0,3800.0,2026-06-03
2026060303000021,ALBSL,38,74,10.0,1101.0,11010.0,2026-06-03
2026060305000022,RAWA,71,11,10.0,600.6,6006.0,2026-06-03
2026060305000023,MSHL,71,57,10.0,724.5,7245.0,2026-06-03
2026060305000024,HRL,33,50,45.0,693.0,31185.0,2026-06-03
2026060301000004,CITY,4,34,10.0,393.1,3931.0,2026-06-03
2026060303000022,MFIL,57,26,50.0,801.0,40050.0,2026-06-03
2026060301000005,BHCL,28,41,10.0,580.0,5800.0,2026-06-03
2026060301000006,BHCL,3,41,19.0,580.0,11020.0,2026-06-03
2026060301000007,BHCL,65,41,21.0,580.0,12180.0,2026-06-03
2026060301000008,BHCL,65,83,10.0,580.0,5800.0,2026-06-03
2026060301000009,BHCL,65,41,10.0,580.0,5800.0,2026-06-03
2026060301000010,BHCL,65,41,10.0,580.0,5800.0,2026-06-03
2026060301000011,BUNGAL,65,41,10.0,663.0,6630.0,2026-06-03
2026060301000012,JHAPA,94,5,10.0,1418.0,14180.0,2026-06-03
2026060301000013,JHAPA,94,48,10.0,1418.0,14180.0,2026-06-03
2026060301000014,JHAPA,94,45,80.0,1418.0,113440.0,2026-06-03
2026060301000015,SYPNL,41,52,30.0,1440.1,43203.0,2026-06-03
2026060301000016,SABBL,45,62,80.0,1264.0,101120.0,2026-06-03
2026060301000017,RSML,44,60,10.0,3468.0,34680.0,2026-06-03
2026060301000018,SOHL,49,58,10.0,650.0,6500.0,2026-06-03
2026060301000019,BJHL,39,57,10.0,860.0,8600.0,2026-06-03
2026060301000020,SKHL,74,41,10.0,950.0,9500.0,2026-06-03
2026060301000021,PCIL,42,7,10.0,793.0,7930.0,2026-06-03
2026060301000022,PCIL,42,49,10.0,793.0,7930.0,2026-06-03
2026060301000023,KHPL,64,59,10.0,497.1,4971.0,2026-06-03
2026060304000012,UAIL,26,3,200.0,471.0,94200.0,2026-06-03
2026060304000013,NHPC,26,34,10.0,286.6,2866.0,2026-06-03
2026060304000014,RIDI,38,58,100.0,370.0,37000.0,2026-06-03
2026060304000015,NHPC,26,58,10.0,286.6,2866.0,2026-06-03
2026060303000023,CFCL,48,58,20.0,608.0,12160.0,2026-06-03
2026060304000016,RIDI,38,58,10.0,370.0,3700.0,2026-06-03
2026060305000025,NRN,20,66,100.0,1420.0,142000.0,2026-06-03
2026060305000026,NRN,20,64,200.0,1425.2,285040.0,2026-06-03
2026060305000027,NRN,20,45,150.0,1430.0,214500.0,2026-06-03
2026060305000028,NRN,20,62,30.0,1435.0,43050.0,2026-06-03
2026060305000029,NRN,20,58,100.0,1437.0,143700.0,2026-06-03
